Date,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
7/13/2015,"1,500",200,300,700,656,320,200,600,336,352,600,900,320,336,336,352,384,544,672,672,672,672,672,656,656,656,640,656,592,544,496,448,400,352,336,288,240,208,160,176,128,96,80,80,64,48,48,48,64,32,32,48,48,32,32,64,96,96,112,128,256,512,592,592,640,672,720,752,752,832,928,976,976,1040,1072,1104,1088,1024,1040,1120,1120,1120,1136,1104,1104,1088,1056,1056,1136,1104,1088,1088,1008,832,704,712
7/14/2015,720,704,688,688,672,688,704,672,496,336,352,336,352,336,336,336,400,528,672,672,672,656,672,768,880,848,848,944,960,912,880,832,784,752,672,656,720,592,576,544,528,528,448,368,368,432,432,416,448,448,416,416,384,368,144,112,128,320,528,512,512,592,608,624,640,704,736,768,752,816,928,976,1040,1040,1072,1104,1088,1040,1024,1120,1136,1136,1136,1104,1088,1104,896,992,1024,1104,1088,1088,1088,944,736,688
7/15/2015,688,688,704,688,672,672,656,672,496,352,352,336,336,336,336,336,400,544,672,672,672,656,672,688,752,752,736,960,976,944,912,896,848,832,656,624,640,608,544,544,496,400,384,336,352,416,416,352,400,400,384,384,352,368,432,416,432,464,512,528,480,576,576,288,416,672,736,784,752,832,944,992,1040,1056,1056,1072,1056,1024,1024,1104,1104,1088,1120,1088,1104,1104,1040,1040,1056,1104,1120,1120,1088,912,720,704
7/16/2015,512,368,352,368,336,336,352,336,272,208,224,240,208,224,208,208,352,544,672,688,672,656,656,656,752,720,720,896,944,912,896,832,800,768,672,624,624,592,544,528,544,496,432,352,320,400,448,432,432,416,432,432,384,384,448,480,496,480,512,528,464,448,544,624,640,688,704,768,768,832,928,976,1040,1072,1072,1120,1120,1056,1072,1136,1120,1120,1120,1120,1104,1104,1072,1056,1040,1088,1072,1088,1088,928,800,768
7/17/2015,592,416,416,400,400,352,336,352,288,224,224,224,224,224,208,224,352,560,672,688,672,656,672,672,752,736,720,720,752,880,880,864,800,768,688,656,656,656,624,576,560,544,512,448,416,464,464,480,448,464,464,480,448,448,528,480,496,528,496,448,336,320,304,320,352,400,416,480,496,560,592,640,688,720,752,784,784,784,768,816,784,768,752,784,768,768,752,752,688,752,736,752,752,752,768,752
7/18/2015,560,384,384,416,400,400,384,384,320,272,256,288,288,256,272,256,400,608,720,736,720,736,736,720,752,736,720,704,672,640,640,656,624,688,688,688,640,640,656,560,544,544,608,560,560,336,112,256,320,432,480,448,560,576,592,608,640,608,576,608,608,592,656,624,448,288,272,272,256,272,304,192,240,272,304,320,320,352,352,352,368,336,336,336,352,352,352,352,352,336,336,352,336,352,336,352
7/19/2015,304,224,224,208,224,208,224,224,240,224,224,224,224,208,208,224,208,240,224,240,224,224,224,208,208,224,208,192,128,96,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,192,192,160,160,160,144,112,32,80,160,208,208,208,224,208,224,224,224,224,224,240,224,240,224,240,240,224,208,224,224,256,224,224,224,224,224,240
7/20/2015,400,624,688,704,688,672,688,672,624,576,576,576,560,560,576,560,640,720,688,704,688,688,672,720,752,768,800,864,944,912,944,896,848,848,752,736,832,736,704,656,640,656,672,560,560,608,640,608,496,352,336,384,448,352,432,432,400,464,496,512,432,576,560,576,624,688,736,736,752,848,928,960,992,1072,1072,1104,1104,960,1056,1136,1136,1136,1136,1152,1136,1104,1056,1056,1104,1104,1104,1104,1088,928,752,736
7/21/2015,736,720,720,704,704,704,704,688,624,576,576,592,560,576,576,560,672,704,688,704,688,688,672,720,784,768,832,1024,992,976,944,944,928,896,832,832,864,832,800,816,560,672,720,496,528,624,640,720,496,608,544,544,480,592,448,464,448,448,560,448,416,496,528,544,624,656,688,752,784,816,912,960,1024,1088,1072,1072,1040,976,1040,1152,1120,1120,1136,1152,1136,1088,1040,1072,1136,1088,1104,1104,1104,976,768,704
7/22/2015,720.0004,704,720,704,688,688,688,672,608,592,576,560,560,560,560,576,656,784,736,736,752,768,752,752,768,768,816,1040,1008,992,992,992,944,832,768,800,784,768,768,704,800,736,464,560,608,384,464,480,448,384,352,336,432,208,304,432,528,432,448,448,416,496,656,640,624,624,688,720,736,816,896,864,944,1056,1056,1056,1040,992,1008,1104,1104,1104,1120,1136,1104,1104,1040,1072,1120,1008,1056,1088,1072,960,816,816
7/23/2015,800,752,704,688,704,688,672,688,592,576,560,560,560,560,560,560,640,672,672,672,688,672,672,704,752,736,720,720,816,928,928,880,880,896,880,816,848,848,800,720,560,416,368,304,272,368,352,384,368,352,336,352,304,336,400,400,416,448,480,448,416,432,448,592,608,656,704,704,560,672,864,976,1024,1056,1072,1072,1072,1040,1056,1136,1136,1120,1120,1104,1104,1120,1056,1056,1104,960,976,1072,1056,928,736,720
7/24/2015,736,720,704,704,720,720,688,688,608,576,576,576,576,544,576,560,656,672,672,688,672,688,672,672,736,720,704,688,640,576,528,512,464,416,352,304,288,288,224,176,160,192,160,112,96,80,96,112,48,64,96,112,48,0,0,0,0,0,0,0,0,0,0,112,256,304,304,352,416,480,528,560,608,656,704,688,720,736,720,736,720,720,736,720,720,704,704,720,704,688,672,704,688,720,720,688
7/25/2015,464,352,352,352,336,336,336,336,272,224,208,224,224,224,208,224,400,592,672,672,672,672,672,672,656,656,672,640,592,560,496,432,400,336,304,272,240,208,160,128,96,96,80,48,32,48,32,16,0,16,16,32,0,0,32,32,32,32,80,96,96,144,176,192,64,0,0,0,0,48,128,144,208,240,304,320,320,368,368,352,352,336,352,368,352,336,352,368,352,336,352,336,368,336,352,336
7/26/2015,272,240,224,224,224,208,224,224,224,224,224,208,208,224,208,208,224,224,208,224,208,224,208,208,224,224,208,192,128,80,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,96,144,160,192,224,240,224,224,224,256,176,0,0,0,0,144,320,304,304,304,320,368,384,352
7/27/2015,352,336,352,352,336,336,336,336,288,224,208,208,208,224,224,224,368,576,672,672,672,688,688,688,736,736,784,944,976,944,960,944,928,864,576,608,592,576,480,480,464,464,384,304,304,352,400,416,400,368,384,400,336,336,352,400,416,480,464,32,0,304,560,592,640,672,688,720,720,816,880,960,1008,1008,1040,1104,1088,1024,1056,1120,1152,1136,1088,1088,1120,1104,1056,1056,1104,1104,1104,1104,1072,928,736,736
7/28/2015,704,688,688,704,688,688,672,672,688,672,672,656,672,672,672,656,656,656,656,656,672,672,656,672,752,720,752,992,1008,960,912,864,816,784,656,656,656,624,592,560,560,496,416,336,368,512,448,448,480,448,416,400,400,416,480,496,496,560,560,560,512,592,640,672,720,768,752,800,816,848,944,976,1024,1056,1088,1136,1072,1040,1088,1152,1136,1136,1136,1104,1152,1120,1088,1104,1136,1104,1120,1104,1104,976,768,720
7/29/2015,720,704,720,736,688,688,688,704,704,672,688,672,688,688,672,672,672,688,672,656,688,672,672,704,752,752,736,976,992,976,960,928,848,816,720,704,704,880,976,720,752,736,720,704,592,560,512,496,560,528,544,528,480,592,912,624,864,944,720,720,752,608,704,672,848,720,768,944,992,1104,1136,1104,1056,1136,1120,1136,1120,1072,1120,1168,1136,1168,1152,1120,1104,1120,1072,1104,1120,1104,1072,1104,1088,960,800,800
7/30/2015,752,736,688,704,704,720,720,704,688,704,704,688,688,688,720,688,688,688,704,720,720,704,720,736,880,832,816,784,768,832,1008,1008,992,976,864,928,960,912,752,768,656,624,512,528,496,496,496,512,528,528,800,704,560,496,544,880,672,576,608,592,592,560,496,592,672,768,784,768,720,784,1136,1168,1152,1136,1040,976,832,816,848,832,784,752,784,784,752,736,736,752,768,752,736,736,736,768,736,720
7/31/2015,720,736,720,688,704,704,720,704,704,688,704,688,688,688,704,688,688,704,688,688,672,688,704,688,720,768,736,736,736,704,640,656,640,560,528,480,448,400,368,336,256,240,256,224,208,176,144,176,176,160,192,192,240,432,544,512,448,384,416,400,400,480,528,560,560,576,608,592,624,672,640,608,704,704,720,736,736,736,752,736,752,768,736,736,736,736,736,720,736,736,720,720,300,,,
